Workload Concurrency BlockSize MyDiskBenchThroughput TheoreticalThroughput Efficiency

RS 	 2 	 1MB 	 628.998345 	 1080.000000 	 58.240588 
RS 	 1 	 1MB 	 347.810033 	 540.000000 	 64.409265 
WS 	 1 	 1MB 	 326.107849 	 410.000000 	 79.538500 
WS 	 2 	 1MB 	 313.800459 	 820.000000 	 38.268349 
RS 	 4 	 1MB 	 346.477406 	 2160.000000 	 16.040621 
RS 	 4 	 10MB 	 795.098122 	 2160.000000 	 36.810098 
RS 	 2 	 100MB 	 573.341932 	 1080.000000 	 53.087216 
RS 	 4 	 100MB 	 743.895753 	 2160.000000 	 34.439618 
RS 	 2 	 10MB 	 611.042607 	 1080.000000 	 56.578019 
RS 	 1 	 100MB 	 294.960958 	 540.000000 	 54.622400 
WS 	 4 	 100MB 	 328.630865 	 1640.000000 	 20.038467 
WR 	 1 	 1MB 	 313.081971 	 172.000000 	 182.024402 
WS 	 4 	 1MB 	 269.508058 	 1640.000000 	 16.433418 
WS 	 2 	 10MB 	 178.891747 	 820.000000 	 21.816067 
WS 	 1 	 10MB 	 178.569034 	 410.000000 	 43.553423 
WS 	 4 	 10MB 	 176.377678 	 1640.000000 	 10.754736 
WS 	 1 	 100MB 	 169.691056 	 410.000000 	 41.388063 
WS 	 2 	 100MB 	 161.730637 	 820.000000 	 19.723248 
WR 	 4 	 100MB 	 320.396893 	 688.000000 	 46.569316 
WR 	 4 	 1MB 	 252.788133 	 688.000000 	 36.742461 
WR 	 1 	 10MB 	 188.063543 	 172.000000 	 109.339269 
WR 	 2 	 10MB 	 180.958595 	 344.000000 	 52.604243 
WR 	 4 	 10MB 	 175.430342 	 688.000000 	 25.498596 
WR 	 1 	 100MB 	 166.085917 	 172.000000 	 96.561580 
WR 	 2 	 100MB 	 157.197683 	 344.000000 	 45.697001 
RR 	 1 	 1MB 	 316.676929 	 372.000000 	 85.128207 
RR 	 4 	 100MB 	 1154.792421 	 1488.000000 	 77.607018 
RR 	 4 	 10MB 	 955.969208 	 1488.000000 	 64.245242 
RR 	 4 	 1MB 	 665.546501 	 1488.000000 	 44.727587 
RR 	 2 	 10MB 	 598.714379 	 744.000000 	 80.472363 
RR 	 2 	 100MB 	 602.836166 	 744.000000 	 81.026366 
RS 	 1 	 10MB 	 27.379931 	 540.000000 	 5.070358 
RR 	 1 	 10MB 	 315.406074 	 372.000000 	 84.786579 
RR 	 1 	 100MB 	 301.797452 	 372.000000 	 81.128347 
RS 	 2 	 1MB 	 627.532690 	 1080.000000 	 58.104879 
RS 	 1 	 1MB 	 124.187033 	 540.000000 	 22.997599 
