Workload Concurrency BlockSize MyRAMBenchValue TheoreticalValue MyRAMBenchEfficiency
RWR 	 2 	 1MB 	 7.942949 	 68.256000 	 11.636998 
RWR 	 1 	 1MB 	 4.278395 	 68.256000 	 6.268160 
RWR 	 1 	 1KB 	 2.779071 	 68.256000 	 4.071541 
RWR 	 4 	 1KB 	 2.359288 	 68.256000 	 3.456528 
RWR 	 2 	 1KB 	 2.113713 	 68.256000 	 3.096743 
RWR 	 4 	 10MB 	 13.712955 	 68.256000 	 20.090476 
RWS 	 2 	 1KB 	 7.961373 	 68.256000 	 11.663989 
RWR 	 4 	 1MB 	 9.372261 	 68.256000 	 13.731043 
RWR 	 1 	 10MB 	 5.788527 	 68.256000 	 8.480613 
RWS 	 1 	 1KB 	 4.256770 	 68.256000 	 6.236477 
RWS 	 4 	 10MB 	 12.949303 	 68.256000 	 18.971671 
RWS 	 2 	 10MB 	 13.119616 	 68.256000 	 19.221192 
RWS 	 4 	 1MB 	 8.845045 	 68.256000 	 12.958633 
RWS 	 2 	 1MB 	 8.642657 	 68.256000 	 12.662121 
RWS 	 1 	 10MB 	 7.049594 	 68.256000 	 10.328168 
RWS 	 1 	 1MB 	 4.413506 	 68.256000 	 6.466108 
RWR 	 2 	 1MB 	 9.589295 	 68.256000 	 14.049014 
RWR 	 1 	 1MB 	 4.435467 	 68.256000 	 6.498281 
RWR 	 1 	 1KB 	 2.395879 	 68.256000 	 3.510137 
RWR 	 2 	 1KB 	 2.251714 	 68.256000 	 3.298925 
RWR 	 4 	 1KB 	 1.556414 	 68.256000 	 2.280260 
RWR 	 2 	 10MB 	 13.415083 	 68.256000 	 19.654072 
RWS 	 2 	 1KB 	 7.185020 	 68.256000 	 10.526577 
RWR 	 1 	 10MB 	 6.328270 	 68.256000 	 9.271375 
RWS 	 1 	 1KB 	 3.628231 	 68.256000 	 5.315622 
RWR 	 4 	 10MB 	 15.497137 	 68.256000 	 22.704432 
RWS 	 4 	 10MB 	 10.835909 	 68.256000 	 15.875394 
RWS 	 4 	 1MB 	 8.321826 	 68.256000 	 12.192080 
RWS 	 1 	 10MB 	 7.464514 	 68.256000 	 10.936055 
RWS 	 2 	 1MB 	 6.465525 	 68.256000 	 9.472463 
RWS 	 2 	 10MB 	 15.223495 	 68.256000 	 22.303526 
RWR 	 2 	 10MB 	 10.801365 	 68.256000 	 15.824785 
