Workload Concurrency BlockSize MyRAMBenchLatency(us) TheoreticalLatency(us) MyRAMBenchEfficiency(%)
RWR 	 1 	 1B 	 0.190979 	 0.014100 	 -1254.461849 
RWR 	 2 	 1B 	 0.570623 	 0.014100 	 -3946.970141 
RWR 	 4 	 1B 	 1.358985 	 0.014100 	 -9538.190997 
RWS 	 1 	 1B 	 0.008142 	 0.014100 	 42.252349 
RWS 	 4 	 1B 	 0.017132 	 0.014100 	 -21.504178 
RWS 	 2 	 1B 	 0.011311 	 0.014100 	 19.778929 
RWR 	 1 	 1B 	 0.169207 	 0.014100 	 -1100.050581 
RWR 	 2 	 1B 	 0.712079 	 0.014100 	 -4950.208856 
RWR 	 4 	 1B 	 1.431314 	 0.014100 	 -10051.163331 
RWS 	 1 	 1B 	 0.010324 	 0.014100 	 26.776954 
RWS 	 4 	 1B 	 0.016362 	 0.014100 	 -16.042702 
RWS 	 2 	 1B 	 0.011262 	 0.014100 	 20.128575 
