Protocol Concurrency BlockSize MyNETBenchValue TheoreticalValue MyNETBenchEfficiency
TCP 	 1 	 1KB 	 1642.470817 	 10000.000000 	 16.424708 
TCP 	 2 	 1KB 	 2860.135612 	 10000.000000 	 28.601356  
TCP 	 4 	 1KB 	 4193.231995 	 10000.000000 	 41.932320 
TCP 	 8 	 1KB 	 4277.525881 	 10000.000000 	 42.775259 
TCP 	 8 	 32KB 	 4208.789195 	 10000.000000 	 42.087892 
TCP 	 1 	 32KB 	 1727.393055 	 10000.000000 	 17.273931 
TCP 	 2 	 32KB 	 5321.412592 	 10000.000000 	 53.214126 
TCP 	 4 	 32KB 	 4401.098607 	 10000.000000 	 44.010986 
UDP 	 1 	 1KB 	 1071.892499 	 56000.000000 	 1.914094 
UDP 	 2 	 1KB 	 1232.354917 	 56000.000000 	 2.200634 
UDP 	 2 	 32KB 	 4912.209275 	 56000.000000 	 8.771802 
UDP 	 4 	 32KB 	 4564.046966 	 56000.000000 	 8.150084 
UDP 	 8 	 32KB 	 4657.452357 	 56000.000000 	 8.316879 
UDP 	 1 	 32KB 	 12824.685798 	 10000.000000 	 128.246858 
UDP 	 1 	 32KB 	 4863.643472 	 10000.000000 	 48.636435 
UDP 	 1 	 32KB 	 12446.216588 	 10000.000000 	 124.462166 
UDP 	 2 	 32KB 	 1777.420616 	 10000.000000 	 177.774206 
UDP 	 8 	 1KB 	 3795.503093 	 10000.000000 	 37.955031 
UDP 	 2 	 1KB 	 2352.588690 	 10000.000000 	 23.525887 
